	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
196	1	1	1	2	70	0	3
197	1	1	3	47	48	9	9
198	1	1	2	14	83	0	4
199	1	1	1	18	23	2	2
200	1	1	1	1	262	0	1
201	1	1	1	1	262	0	1
202	1	1	1	1	262	0	1
203	1	1	1	1	262	1	1
204	1	1	1	7	19	3	3
205	1	1	1	7	19	3	3
206	1	1	1	7	21	9	9
207	1	1	1	7	21	6	6
208	1	1	2	39	54	9	9
209	1	1	1	4	26	0	3
210	1	1	1	21	7	0	2
211	1	1	3	72	488	8	12
212	1	1	3	72	494	12	18
213	1	1	2	46	268	5	15
214	1	1	1	29	158	1	3
215	1	1	3	77	308	4	12
216	1	1	2	46	268	3	9
217	1	1	1	0	8	0	1
218	1	1	1	0	8	1	1
219	1	1	1	15	14	2	2
220	1	1	4	98	613	24	24
221	1	1	1	26	115	0	4
222	1	1	1	0	7	1	4
223	1	1	1	0	7	1	1
224	1	1	1	2	48	0	3
225	1	1	1	49	18	2	3
226	1	1	2	7	51	6	6
227	1	1	1	3	9	7	7
228	1	1	3	9	87	0	42
229	1	1	1	18	17	1	1
230	1	1	1	18	17	1	1
231	1	1	1	18	17	0	1
232	1	1	1	18	17	1	1
233	1	1	1	18	17	1	1
234	0	0	1	0	6	1	1
235	0	0	1	0	6	1	1
236	0	0	1	0	6	1	1
237	0	0	1	0	6	1	1
238	0	0	1	0	6	1	1
239	0	0	1	0	6	1	1
240	0	0	1	0	6	1	1
241	0	0	1	0	6	1	1
242	0	0	1	0	6	1	1
243	1	1	4	198	537	92	104
244	1	1	1	2	28	1	26
245	1	1	2	115	206	46	52
246	1	1	12	550	500	161	364
247	1	1	2	184	124	46	52
248	1	1	1	2	28	1	26
249	1	1	5	223	774	115	130
250	1	1	2	55	81	24	24
251	1	1	1	4	14	1	2
252	1	1	2	21	9	4	4
253	1	1	1	12	1	0	2
254	1	1	2	29	1	2	4
255	1	1	2	29	1	2	4
256	1	1	1	12	1	2	4
257	1	1	1	12	1	7	14
258	1	1	2	29	1	11	24
259	1	1	1	11	45	0	6
260	1	1	1	29	158	5	5
261	1	1	2	48	296	0	20
262	1	1	2	81	14	10	15
263	1	1	3	61	366	15	15
264	1	1	1	19	4	1	1
265	1	1	1	19	4	1	1
266	1	1	1	2	4	1	1
267	1	1	2	74	60	0	4
268	1	1	1	1	12	1	1
269	1	1	1	34	14	0	1
270	1	1	1	12	1	0	2
271	1	1	1	12	1	0	2
272	1	1	1	10	1	0	2
273	1	1	1	10	1	0	7
274	1	1	1	12	1	0	12
275	1	1	1	23	10	1	1
276	1	1	1	12	1	0	5
277	1	1	1	11	83	2	4
278	1	1	1	10	83	2	2
279	1	1	2	18	113	2	4
280	1	1	1	9	11	1	2
281	1	1	1	9	11	0	1
282	1	1	1	9	11	2	2
283	1	1	1	9	11	0	1
284	1	1	1	9	11	0	1
285	1	1	1	16	62	2	2
286	1	1	1	31	175	0	4
287	1	1	1	29	158	3	3
288	1	1	2	83	100	0	18
289	1	1	2	83	90	0	6
290	0	0	1	0	6	1	1
291	0	0	1	0	6	1	1
292	0	0	1	0	6	1	1
293	0	0	1	0	6	1	1
294	0	0	1	0	6	1	1
295	0	0	1	0	6	1	1
296	0	0	1	0	6	1	1
297	0	0	1	0	6	1	1
298	1	1	1	2	13	1	2
299	1	1	1	3	2	1	2
300	1	1	1	3	6	0	1
301	1	1	1	3	6	0	1
302	1	1	1	3	6	1	1
303	1	1	1	18	17	1	1
304	1	1	1	18	17	0	1
305	1	1	1	18	17	1	1
306	1	1	1	18	17	1	1
307	1	1	1	13	24	3	3
308	1	1	1	17	4	0	1
309	1	1	1	17	4	0	1
310	1	1	1	17	4	0	1
311	1	1	1	19	7	1	1
312	1	1	1	19	7	1	1
313	1	1	1	5	53	0	1
314	1	1	1	5	53	1	1
315	1	1	2	83	100	12	12
316	1	1	1	26	119	0	6
317	1	1	1	19	78	1	1
318	1	1	1	18	43	4	5
319	1	1	1	11	26	10	50
320	1	1	1	10	26	0	5
321	1	1	1	4	2	0	1
322	1	1	1	4	2	0	1
323	1	1	1	6	7	0	1
324	1	1	1	8	8	0	1
325	1	1	1	51	118	8	8
326	1	1	1	13	25	0	3
327	1	1	1	13	25	0	3
328	1	1	2	14	58	12	12
329	1	1	1	13	25	3	3
330	1	1	1	0	4	1	1
331	1	1	1	20	16	5	5
332	1	1	1	20	16	0	5
333	1	1	1	13	22	1	1
334	1	1	1	14	30	0	4
335	1	1	1	13	22	0	1
336	1	1	1	12	27	1	1
337	1	1	1	34	31	0	4
338	1	1	1	8	51	1	1
339	1	1	1	8	51	0	1
340	1	1	1	8	51	1	1
341	1	1	1	8	51	0	9
342	1	1	1	40	85	1	1
343	1	1	1	40	85	1	1
344	1	1	1	1	262	1	1
345	1	1	1	1	262	1	1
346	1	1	1	1	262	0	1
347	1	1	2	29	1	4	4
348	1	1	1	12	1	4	4
349	1	1	1	12	1	6	14
350	1	1	2	29	1	22	24
351	0	0	1	10	15	2	2
352	1	1	1	8	51	0	1
353	1	1	1	8	51	1	1
354	1	1	1	8	51	0	9
355	1	1	1	16	26	0	1
356	1	1	1	19	5	0	1
357	1	1	1	52	29	3	14
358	1	1	2	99	42	12	24
359	1	1	1	16	10	2	2
360	1	1	2	85	54	2	4
361	1	1	2	44	32	4	4
362	1	1	1	21	14	4	4
363	1	1	1	8	20	1	1
364	1	1	1	8	20	1	1
365	1	1	1	8	20	0	1
366	1	1	1	3	39	0	1
367	1	1	1	3	39	0	1
368	1	1	1	2	0	3	4
369	1	1	1	9	7	0	1
370	1	1	1	9	7	0	1
371	1	1	1	0	0	1	1
372	1	1	1	0	0	1	1
373	1	1	1	0	0	0	1
374	1	1	1	0	0	0	1
375	1	1	1	8	16	0	10
376	1	1	1	8	12	0	1
377	1	1	1	9	24	0	10
378	1	1	1	9	17	0	5
379	1	1	1	8	23	0	7
380	1	1	2	90	49	6	6
381	1	1	1	35	23	3	3
382	1	1	3	65	68	0	9
383	1	1	2	11	175	9	18
384	1	1	1	0	44	3	6
385	1	1	1	1	262	1	1
386	1	1	1	1	262	0	1
387	1	1	1	0	7	1	4
388	1	1	1	0	0	1	1
389	1	1	2	101	395	20	20
390	1	1	1	5	35	2	2
391	1	1	1	12	1	4	4
392	1	1	1	12	1	6	14
393	1	1	2	29	1	22	24
394	1	1	1	28	44	0	10
395	1	1	2	2	32	0	8
396	1	1	1	6	1	1	1
397	1	1	1	6	1	1	1
398	1	1	1	26	29	1	1
399	1	1	1	26	29	1	1
400	1	1	1	7	10	1	1
401	1	1	1	7	10	3	5
402	1	1	1	5	43	0	3
403	1	1	1	5	45	2	6
404	0	0	1	0	6	1	1
405	0	0	1	0	6	1	1
406	0	0	1	0	6	1	1
407	0	0	1	0	6	1	1
408	0	0	1	0	6	1	1
409	0	0	1	0	6	1	1
410	0	0	1	0	6	1	1
411	1	1	1	4	9	0	5
412	1	1	5	71	454	130	130
413	1	1	1	7	10	3	5
414	1	1	1	7	9	0	26
415	1	1	1	21	14	4	4
416	1	1	1	8	51	0	1
417	1	1	1	8	51	9	9
418	1	1	1	8	20	1	1
419	1	1	1	8	20	0	1
420	1	1	1	3	39	1	1
421	1	1	1	17	62	2	2
422	1	1	5	10	44	25	25
423	1	1	1	2	15	5	5
424	1	1	1	6	233	0	2
425	1	1	1	5	211	2	2
426	1	1	1	23	22	1	4
427	1	1	1	35	7	2	2
428	1	1	1	35	7	2	2
429	1	1	1	10	124	1	1
430	1	1	1	10	124	1	1
431	1	1	1	23	6	13	13
432	1	1	2	37	32	13	26
433	1	1	1	34	2	0	1
434	1	1	1	34	2	1	1
435	1	1	1	0	0	1	1
436	1	1	1	0	0	0	1
437	1	1	1	0	0	0	1
438	1	1	2	28	52	4	4
439	1	1	1	11	22	2	2
440	1	1	1	7	52	3	3
441	1	1	1	7	52	1	1
442	1	1	1	9	65	1	1
443	1	1	1	9	65	0	1
444	1	1	1	9	65	0	1
445	1	1	1	9	65	1	1
446	1	1	1	8	0	1	1
447	1	1	1	8	0	1	1
448	1	1	2	53	11	4	4
449	1	1	2	73	27	6	14
450	1	1	2	90	30	22	24
451	1	1	1	10	124	1	1
452	1	1	2	26	46	6	6
453	1	1	1	19	30	3	3
454	1	1	1	10	15	0	1
455	1	1	2	48	296	0	12
456	1	1	1	22	9	1	1
457	1	1	1	54	44	0	4
458	1	1	1	0	1	2	2
459	1	1	1	31	61	0	2
460	1	1	1	31	61	0	2
461	1	1	1	31	61	0	2
462	1	1	1	29	60	0	1
463	1	1	1	12	3	2	2
464	1	1	1	19	7	1	1
465	1	1	1	7	52	3	3
466	1	1	1	13	14	2	2
