	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
104	0.0	0.0	1.0	0.0	12.0	3.0	5.0
105	1.0	1.0	1.0	0.0	3.0	2.0	2.0
106	0.0	0.0	1.0	34.0	28.0	2.0	4.0
107	0.0	0.0	1.0	26.0	5.0	1.0	1.0
108	1.0	1.0	1.0	27.0	11.0	4.0	4.0
109	0.0	0.0	2.0	0.0	0.0	6.0	6.0
110	0.0	0.0	2.0	0.0	0.0	6.0	6.0
111	0.0	0.0	1.0	9.0	129.0	2.0	3.0
112	2.0	2.0	1.0	28.0	12.0	18.0	18.0
113	0.0	0.0	1.0	49.0	95.0	1.0	40.0
114	1.0	1.0	2.0	30.0	51.0	6.0	6.0
115	1.0	1.0	1.0	44.0	12.0	2.0	4.0
116	1.0	1.0	1.0	19.0	34.0	3.0	3.0
117	1.0	1.0	1.0	19.0	34.0	3.0	3.0
118	1.0	1.0	2.0	59.0	122.0	0.0	12.0
119	1.0	1.0	1.0	48.0	74.0	0.0	28.0
120	1.0	1.0	1.0	10.0	86.0	1.0	2.0
121	1.0	1.0	2.0	30.0	51.0	9.0	9.0
122	0.0	0.0	1.0	26.0	63.0	0.0	24.0
123	0.0	0.0	1.0	0.0	6.0	0.0	3.0
124	0.0	0.0	1.0	0.0	6.0	3.0	3.0
125	0.0	0.0	1.0	8.0	9.0	1.0	1.0
126	1.0	1.0	2.0	10.0	15.0	2.0	77.0
127	1.0	1.0	4.0	100.0	114.0	70.0	90.0
128	1.0	1.0	1.0	0.0	0.0	1.0	7.0
129	1.0	1.0	1.0	0.0	0.0	1.0	7.0
130	1.0	1.0	2.0	0.0	6.0	2.0	14.0
131	0.0	0.0	1.0	0.0	6.0	1.0	7.0
132	0.0	0.0	1.0	0.0	6.0	1.0	7.0
133	1.0	1.0	1.0	5.0	15.0	1.0	1.0
134	1.0	1.0	9.0	360.0	549.0	85.0	190.0
135	0.0	0.0	1.0	0.0	6.0	0.0	1.0
136	1.0	1.0	1.0	18.0	204.0	3.0	18.0
137	1.0	1.0	1.0	0.0	3.0	0.0	4.0
