	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfSharedReferences	NumofSharedReferencedBy	AffRepititions	ConfRepititions
143	1.0	1.0	1.0	0.0	0.0	2.0	2.0
144	1.0	1.0	1.0	10.0	23.0	0.0	3.0
145	1.0	1.0	1.0	26.0	9.0	1.0	1.0
146	1.0	1.0	1.0	26.0	9.0	1.0	1.0
147	0.0	0.0	1.0	0.0	0.0	0.0	12.0
148	0.0	0.0	2.0	1.0	1.0	6.0	6.0
149	0.0	0.0	1.0	0.0	1.0	3.0	3.0
150	1.0	1.0	1.0	29.0	104.0	2.0	6.0
151	0.0	0.0	1.0	0.0	1.0	0.0	1.0
152	1.0	1.0	1.0	5.0	8.0	0.0	4.0
153	0.0	0.0	1.0	0.0	0.0	1.0	1.0
154	0.0	0.0	1.0	0.0	1.0	2.0	2.0
155	0.0	0.0	1.0	0.0	0.0	3.0	4.0
156	0.0	0.0	1.0	0.0	1.0	2.0	2.0
157	0.0	0.0	1.0	4.0	6.0	1.0	2.0
158	0.0	0.0	1.0	0.0	21.0	1.0	1.0
159	0.0	0.0	1.0	3.0	5.0	2.0	3.0
160	1.0	1.0	2.0	23.0	37.0	6.0	34.0
161	1.0	1.0	1.0	31.0	255.0	1.0	1.0
162	1.0	1.0	1.0	31.0	255.0	1.0	1.0
163	1.0	1.0	1.0	31.0	255.0	1.0	1.0
164	0.0	0.0	2.0	29.0	6.0	434.0	510.0
165	0.0	0.0	3.0	0.0	0.0	0.0	345.0
166	1.0	1.0	1.0	40.0	29.0	22.0	24.0
167	1.0	1.0	1.0	31.0	255.0	0.0	1.0
168	0.0	0.0	13.0	67.0	8.0	548.0	630.0
169	0.0	0.0	1.0	22.0	3.0	4.0	4.0
170	0.0	0.0	1.0	0.0	0.0	0.0	15.0
171	0.0	0.0	1.0	22.0	3.0	9.0	11.0
172	0.0	0.0	1.0	22.0	3.0	0.0	10.0
173	1.0	1.0	1.0	40.0	29.0	2.0	2.0
174	1.0	1.0	1.0	41.0	38.0	8.0	8.0
175	1.0	1.0	1.0	40.0	29.0	2.0	2.0
176	1.0	1.0	2.0	451.0	748.0	38.0	40.0
177	1.0	1.0	1.0	46.0	45.0	0.0	1.0
178	1.0	1.0	1.0	31.0	73.0	4.0	20.0
179	1.0	1.0	1.0	31.0	73.0	4.0	20.0
180	1.0	1.0	1.0	21.0	20.0	1.0	1.0
181	1.0	1.0	1.0	21.0	20.0	1.0	1.0
182	1.0	1.0	1.0	25.0	2.0	1.0	1.0
183	0.0	0.0	1.0	31.0	2.0	1.0	3.0
184	0.0	0.0	1.0	0.0	0.0	1.0	1.0
185	1.0	1.0	1.0	12.0	50.0	1.0	1.0
186	1.0	1.0	5.0	117.0	432.0	141.0	273.0
187	0.0	0.0	1.0	0.0	0.0	1.0	1.0
188	1.0	1.0	1.0	15.0	55.0	1.0	1.0
189	1.0	1.0	1.0	25.0	26.0	0.0	10.0
190	0.0	0.0	1.0	0.0	0.0	0.0	1.0
191	1.0	1.0	1.0	0.0	0.0	0.0	4.0
192	1.0	1.0	1.0	8.0	0.0	4.0	80.0
193	1.0	1.0	1.0	0.0	0.0	0.0	4.0
194	1.0	1.0	1.0	63.0	30.0	0.0	38.0
195	1.0	1.0	2.0	99.0	50.0	0.0	38.0
196	0.0	0.0	1.0	0.0	0.0	0.0	4.0
197	1.0	1.0	4.0	162.0	261.0	18.0	48.0
198	1.0	1.0	8.0	306.0	567.0	49.0	144.0
199	1.0	1.0	4.0	156.0	377.0	23.0	72.0
200	1.0	1.0	9.0	315.0	567.0	52.0	144.0
201	0.0	0.0	1.0	0.0	0.0	2.0	4.0
202	0.0	0.0	2.0	0.0	0.0	15.0	15.0
203	0.0	0.0	1.0	0.0	0.0	1.0	1.0
204	1.0	1.0	1.0	23.0	44.0	3.0	3.0
205	1.0	1.0	1.0	35.0	18.0	0.0	1.0
206	1.0	1.0	1.0	27.0	27.0	24.0	90.0
207	1.0	1.0	1.0	26.0	9.0	18.0	20.0
208	0.0	0.0	1.0	0.0	0.0	0.0	3.0
209	1.0	1.0	1.0	35.0	18.0	1.0	1.0
210	1.0	1.0	1.0	30.0	1.0	2.0	2.0
211	1.0	1.0	1.0	35.0	35.0	0.0	4.0
212	1.0	1.0	1.0	35.0	18.0	1.0	1.0
213	1.0	1.0	1.0	5.0	35.0	1.0	4.0
214	0.0	0.0	1.0	0.0	0.0	1.0	1.0
215	1.0	1.0	2.0	39.0	113.0	4.0	4.0
216	1.0	1.0	4.0	139.0	82.0	36.0	44.0
217	0.0	0.0	1.0	5.0	0.0	1.0	1.0
218	1.0	1.0	1.0	26.0	9.0	1.0	1.0
219	0.0	0.0	1.0	5.0	0.0	1.0	1.0
220	1.0	1.0	1.0	32.0	47.0	33.0	45.0
221	1.0	1.0	1.0	32.0	42.0	30.0	30.0
222	1.0	1.0	1.0	33.0	35.0	21.0	21.0
223	1.0	1.0	1.0	26.0	9.0	1.0	1.0
224	1.0	1.0	1.0	26.0	9.0	1.0	1.0
225	0.0	0.0	1.0	6.0	4.0	1.0	1.0
226	1.0	1.0	1.0	25.0	52.0	1.0	16.0
227	1.0	1.0	1.0	24.0	52.0	1.0	2.0
228	1.0	1.0	1.0	26.0	9.0	1.0	1.0
229	1.0	1.0	1.0	25.0	26.0	0.0	10.0
230	1.0	1.0	2.0	163.0	308.0	34.0	76.0
231	1.0	1.0	2.0	83.0	241.0	4.0	6.0
232	1.0	1.0	1.0	14.0	66.0	0.0	3.0
233	0.0	0.0	1.0	0.0	0.0	0.0	1.0
234	1.0	1.0	2.0	92.0	252.0	10.0	12.0
235	1.0	1.0	1.0	47.0	94.0	2.0	4.0
236	1.0	1.0	1.0	18.0	146.0	1.0	4.0
237	1.0	1.0	4.0	65.0	154.0	34.0	48.0
238	0.0	0.0	1.0	42.0	54.0	1.0	3.0
239	1.0	1.0	1.0	20.0	66.0	3.0	6.0
240	0.0	0.0	7.0	0.0	0.0	161.0	230.0
241	1.0	1.0	1.0	23.0	9.0	1.0	1.0
242	0.0	0.0	3.0	52.0	85.0	42.0	70.0
243	1.0	1.0	1.0	0.0	0.0	0.0	1.0
244	1.0	1.0	1.0	0.0	0.0	0.0	1.0
245	1.0	1.0	7.0	103.0	255.0	49.0	130.0
246	1.0	1.0	2.0	183.0	267.0	35.0	76.0
247	1.0	1.0	1.0	22.0	62.0	1.0	1.0
248	0.0	0.0	1.0	9.0	29.0	7.0	10.0
249	0.0	0.0	1.0	9.0	29.0	7.0	10.0
250	1.0	1.0	6.0	93.0	224.0	42.0	60.0
251	0.0	0.0	1.0	0.0	1.0	0.0	2.0
252	0.0	0.0	1.0	9.0	29.0	7.0	10.0
253	0.0	0.0	2.0	0.0	0.0	4.0	4.0
254	0.0	0.0	1.0	13.0	0.0	0.0	2.0
255	0.0	0.0	1.0	0.0	0.0	1.0	1.0
256	0.0	0.0	1.0	0.0	0.0	1.0	1.0
257	1.0	1.0	1.0	0.0	0.0	1.0	2.0
258	1.0	1.0	1.0	0.0	0.0	18.0	20.0
259	1.0	1.0	2.0	85.0	182.0	3.0	6.0
260	0.0	0.0	2.0	0.0	0.0	0.0	44.0
261	0.0	0.0	1.0	9.0	20.0	1.0	1.0
262	0.0	0.0	1.0	0.0	0.0	0.0	12.0
263	0.0	0.0	10.0	0.0	1.0	299.0	299.0
264	1.0	1.0	1.0	27.0	12.0	6.0	12.0
265	0.0	0.0	1.0	0.0	0.0	0.0	1.0
266	1.0	1.0	3.0	224.0	163.0	0.0	133.0
267	0.0	0.0	1.0	0.0	0.0	1.0	1.0
268	1.0	1.0	1.0	14.0	15.0	2.0	2.0
269	1.0	1.0	1.0	23.0	33.0	7.0	17.0
270	0.0	0.0	1.0	42.0	12.0	1.0	1.0
271	1.0	1.0	1.0	23.0	33.0	7.0	17.0
272	1.0	1.0	1.0	9.0	6.0	1.0	1.0
273	1.0	1.0	1.0	7.0	28.0	1.0	1.0
274	1.0	1.0	1.0	22.0	33.0	0.0	2.0
275	1.0	1.0	1.0	22.0	33.0	0.0	2.0
276	1.0	1.0	1.0	55.0	111.0	5.0	12.0
277	1.0	1.0	1.0	9.0	6.0	1.0	1.0
278	1.0	1.0	1.0	22.0	38.0	5.0	5.0
279	1.0	1.0	1.0	41.0	13.0	1.0	1.0
280	1.0	1.0	1.0	41.0	13.0	0.0	1.0
281	1.0	1.0	1.0	41.0	13.0	0.0	1.0
282	1.0	2.0	1.0	0.0	13.0	0.0	54.0
283	1.0	1.0	1.0	0.0	10.0	0.0	222.0
284	1.0	1.0	2.0	26.0	15.0	4.0	4.0
285	1.0	1.0	1.0	0.0	0.0	1.0	1.0
286	1.0	1.0	1.0	24.0	52.0	1.0	8.0
287	1.0	1.0	1.0	24.0	52.0	1.0	2.0
288	1.0	1.0	1.0	24.0	52.0	1.0	2.0
289	1.0	1.0	1.0	24.0	52.0	1.0	1.0
290	1.0	1.0	1.0	0.0	0.0	0.0	12.0
291	1.0	1.0	1.0	0.0	1.0	0.0	546.0
292	0.0	0.0	1.0	0.0	0.0	0.0	1.0
293	1.0	1.0	2.0	58.0	201.0	4.0	12.0
294	2.0	1.0	1.0	25.0	66.0	0.0	20.0
295	0.0	0.0	1.0	0.0	0.0	5.0	23.0
296	1.0	1.0	3.0	63.0	242.0	52.0	56.0
297	0.0	0.0	1.0	0.0	0.0	2.0	5.0
298	0.0	0.0	1.0	0.0	0.0	1.0	12.0
299	0.0	0.0	1.0	0.0	4.0	3.0	3.0
300	1.0	1.0	1.0	12.0	48.0	0.0	30.0
301	0.0	0.0	1.0	0.0	0.0	2.0	2.0
302	1.0	1.0	1.0	55.0	41.0	4.0	4.0
303	0.0	0.0	1.0	0.0	0.0	0.0	4.0
304	0.0	0.0	1.0	17.0	0.0	2.0	12.0
305	0.0	0.0	1.0	0.0	0.0	0.0	2.0
306	0.0	0.0	1.0	0.0	0.0	0.0	3.0
307	1.0	1.0	1.0	40.0	20.0	1.0	2.0
308	0.0	0.0	1.0	0.0	0.0	1.0	1.0
309	0.0	0.0	1.0	0.0	0.0	1.0	1.0
310	0.0	0.0	1.0	0.0	0.0	1.0	1.0
311	1.0	1.0	1.0	41.0	20.0	3.0	3.0
312	0.0	0.0	1.0	17.0	0.0	1.0	1.0
313	0.0	0.0	1.0	17.0	0.0	1.0	1.0
314	0.0	0.0	1.0	0.0	0.0	1.0	1.0
315	0.0	0.0	1.0	9.0	20.0	0.0	1.0
316	1.0	1.0	1.0	32.0	26.0	3.0	4.0
317	1.0	1.0	1.0	46.0	72.0	56.0	72.0
318	1.0	1.0	6.0	36.0	99.0	123.0	230.0
319	0.0	0.0	1.0	0.0	0.0	0.0	195.0
320	1.0	1.0	1.0	39.0	67.0	0.0	8.0
321	1.0	1.0	1.0	40.0	82.0	8.0	40.0
322	1.0	1.0	1.0	30.0	232.0	1.0	1.0
323	1.0	1.0	2.0	65.0	295.0	32.0	84.0
324	1.0	1.0	1.0	30.0	232.0	1.0	1.0
325	1.0	1.0	1.0	39.0	67.0	8.0	8.0
326	1.0	1.0	1.0	30.0	232.0	1.0	1.0
327	1.0	1.0	1.0	15.0	0.0	4.0	8.0
328	0.0	0.0	1.0	17.0	0.0	1.0	1.0
329	0.0	0.0	1.0	17.0	0.0	1.0	1.0
330	0.0	0.0	1.0	17.0	0.0	1.0	1.0
331	0.0	0.0	1.0	17.0	0.0	2.0	2.0
332	0.0	0.0	2.0	0.0	0.0	15.0	18.0
333	1.0	1.0	1.0	5.0	0.0	2.0	2.0
334	1.0	1.0	1.0	46.0	45.0	2.0	2.0
335	0.0	0.0	1.0	0.0	0.0	3.0	3.0
336	0.0	0.0	2.0	0.0	0.0	10.0	143.0
337	0.0	0.0	1.0	0.0	1.0	0.0	39.0
338	1.0	1.0	2.0	51.0	34.0	16.0	60.0
339	1.0	1.0	1.0	21.0	39.0	0.0	9.0
340	1.0	1.0	1.0	21.0	6.0	4.0	6.0
341	1.0	1.0	1.0	47.0	11.0	6.0	10.0
342	1.0	1.0	1.0	47.0	11.0	0.0	1.0
343	0.0	0.0	1.0	28.0	42.0	1.0	1.0
344	1.0	1.0	1.0	12.0	50.0	1.0	1.0
345	0.0	0.0	1.0	28.0	42.0	1.0	1.0
346	0.0	0.0	1.0	28.0	42.0	1.0	1.0
347	1.0	1.0	1.0	12.0	50.0	1.0	1.0
348	0.0	0.0	1.0	0.0	0.0	1.0	1.0
349	0.0	0.0	1.0	0.0	0.0	1.0	1.0
350	0.0	0.0	1.0	0.0	0.0	0.0	1.0
