	KeywordRepititions	FieldRepititions	NumCoAuthored	NumOfReferences	NumOfReferencedBy	AffRepititions	ConfRepititions
196	1	1	3	30	8	0	99
197	1	1	5	34	80	165	165
198	1	1	1	1	14	2	2
199	1	1	1	1	14	2	2
200	1	1	1	1	14	0	2
201	1	1	3	61	204	10	15
202	1	1	1	14	34	2	2
203	1	1	1	14	34	1	1
204	1	1	1	17	46	10	10
205	1	1	1	16	15	0	1
206	1	1	1	16	15	0	1
207	1	1	1	2	5	0	2
208	1	1	1	20	2	0	1
209	1	1	1	14	39	1	1
210	1	1	1	18	44	2	3
211	1	1	1	18	42	3	4
212	1	1	1	17	44	0	3
213	1	1	1	17	46	0	18
214	1	1	1	17	89	1	1
215	1	1	1	17	89	1	1
216	1	1	1	4	10	1	2
217	1	1	1	4	10	2	4
218	1	1	1	0	0	1	1
219	1	1	2	6	3	4	8
220	1	1	1	0	1	1	2
221	1	1	1	6	2	1	2
222	1	1	3	78	484	5	12
223	1	1	1	26	59	0	3
224	1	1	2	56	119	6	6
225	1	1	3	71	139	27	27
226	1	1	1	13	10	0	4
227	1	1	1	12	9	0	1
228	1	1	1	12	9	0	1
229	1	1	1	13	10	0	6
230	1	1	1	12	9	0	1
231	1	1	1	15	9	6	6
232	1	1	1	12	9	0	1
233	1	1	1	23	46	1	1
234	1	1	1	23	46	2	2
235	1	1	1	19	254	3	3
236	1	1	1	20	259	4	4
237	1	1	1	2	9	0	1
238	1	1	1	2	9	0	1
239	1	1	2	26	40	2	6
240	1	1	1	17	89	1	1
241	1	1	1	11	31	5	5
242	1	1	1	1	3	2	2
243	1	1	1	1	23	1	1
244	1	1	3	62	127	112	112
245	1	1	3	61	123	48	48
246	1	1	1	14	32	4	4
247	1	1	1	14	32	4	4
248	1	1	1	0	12	1	3
249	1	1	1	0	12	0	3
250	1	1	1	0	12	0	3
251	1	1	1	0	12	1	3
252	1	1	1	0	5	0	1
253	1	1	1	19	71	0	1
254	1	1	1	19	71	2	2
255	1	1	2	79	122	35	70
256	1	1	1	2	7	2	2
257	1	1	2	17	59	8	8
258	1	1	1	7	9	0	4
259	1	1	1	5	9	2	2
260	1	1	5	10	44	25	25
261	1	1	1	12	34	0	1
262	1	1	1	15	12	9	9
263	1	1	1	17	466	0	1
264	1	1	1	21	524	0	2
265	1	1	1	2	2	1	1
266	1	1	2	0	26	4	4
267	1	1	1	12	53	28	28
268	1	1	1	10	49	1	1
269	1	1	1	10	50	3	3
270	1	1	1	10	52	7	7
271	1	1	1	10	49	1	1
272	1	1	1	10	49	1	1
273	1	1	1	0	6	1	2
274	1	1	1	3	37	1	1
275	1	1	1	7	50	0	2
276	1	1	1	7	50	0	2
277	1	1	1	7	50	2	2
278	1	1	1	1	179	0	1
279	1	1	1	0	1	1	1
280	1	1	1	5	65	0	8
281	1	1	1	4	44	4	4
282	1	1	1	3	37	2	2
283	1	1	1	3	37	0	2
284	1	1	1	3	37	0	2
285	1	1	1	5	3	0	1
286	1	1	1	0	0	1	1
287	1	1	1	6	49	1	1
288	1	1	1	6	49	0	1
289	1	1	1	0	0	1	1
290	1	1	1	0	0	1	1
291	1	1	2	68	333	2	4
292	1	1	1	29	15	3	3
293	1	1	3	86	330	12	12
294	1	1	1	42	73	3	6
295	1	1	1	15	9	1	1
296	0	0	1	18	37	2	2
297	1	1	1	18	44	2	3
298	1	1	1	18	42	3	4
299	1	1	1	12	49	0	1
300	1	1	1	32	20	1	1
301	1	1	1	32	20	1	1
302	1	1	1	32	20	1	1
303	1	1	1	32	20	1	1
304	1	1	1	33	21	0	3
305	1	1	1	6	1	0	1
306	1	1	1	31	15	2	18
307	1	1	1	2	3	2	2
308	1	1	2	4	22	0	4
309	1	1	1	2	3	2	2
310	1	1	1	35	24	1	1
311	1	1	1	35	24	1	1
312	1	1	1	10	16	4	6
313	1	1	1	13	94	0	8
314	1	1	1	5	65	0	4
315	1	1	1	5	65	3	4
316	1	1	1	5	65	3	4
317	1	1	1	10	10	1	1
318	1	1	1	35	25	1	1
319	0	0	1	10	16	0	3
320	0	0	1	9	16	1	2
321	1	1	1	2	9	0	1
322	1	1	1	14	34	2	2
323	1	1	1	17	50	20	20
324	1	1	1	0	0	1	1
325	1	1	1	32	20	1	1
326	1	1	1	32	20	1	1
327	1	1	1	32	20	1	1
328	1	1	1	33	21	0	3
329	1	1	1	20	21	2	2
330	1	1	1	16	17	1	1
331	1	1	1	0	10	0	1
332	1	1	1	0	10	0	1
333	1	1	1	0	10	1	1
334	1	1	2	25	30	8	8
335	1	1	1	26	40	0	1
336	1	1	1	26	40	0	1
337	1	1	1	26	40	0	3
338	1	1	1	26	22	1	1
339	1	1	1	26	22	2	2
340	1	1	1	34	22	3	3
341	1	1	1	33	54	8	18
342	1	1	1	32	20	1	1
343	1	1	1	32	20	1	1
344	1	1	1	33	21	0	3
345	1	1	1	8	33	4	4
346	1	1	1	8	1	2	2
347	1	1	1	31	12	0	1
348	1	1	3	39	110	84	84
349	1	1	2	34	84	36	36
350	1	1	1	20	21	2	2
351	1	1	1	2	3	0	2
352	1	1	1	2	3	1	1
353	1	1	2	89	209	12	12
354	1	1	1	17	0	1	1
355	1	1	1	17	0	1	1
356	1	1	1	13	10	0	4
357	1	1	1	13	10	0	4
358	1	1	4	89	172	16	24
359	1	1	1	13	10	0	4
360	1	1	1	20	10	0	24
361	1	1	1	13	10	4	4
362	1	1	1	22	17	28	28
363	1	1	1	21	16	12	12
364	1	1	1	6	110	1	1
365	1	1	1	6	110	0	1
366	1	1	1	89	199	1	1
367	1	1	1	1	14	1	1
368	1	1	1	1	14	0	1
369	1	1	1	18	4	2	4
370	1	1	1	18	4	2	4
371	1	1	1	18	4	3	8
372	1	1	2	21	54	36	40
373	1	1	2	15	49	28	28
374	1	1	2	36	174	12	12
375	1	1	1	18	66	9	9
376	1	1	2	50	101	6	6
377	1	1	2	50	101	9	9
378	1	1	1	24	37	1	1
379	1	1	1	27	7	1	1
380	1	1	1	27	7	1	1
381	1	1	1	5	12	1	1
382	1	1	1	0	9	2	2
383	1	1	1	0	9	1	1
384	1	1	1	39	144	9	10
385	1	1	1	26	79	1	2
386	1	1	1	26	77	1	1
387	1	1	1	3	35	1	1
388	1	1	1	11	19	2	2
389	1	1	1	11	19	1	1
390	1	1	1	11	19	2	2
391	1	1	1	26	22	2	2
392	1	1	1	34	22	3	3
393	1	1	1	5	21	0	1
394	1	1	1	6	110	0	1
395	1	1	1	9	3	1	1
396	1	1	1	26	11	2	2
397	1	1	1	0	0	0	4
398	1	1	1	5	5	28	28
399	1	1	1	5	5	7	7
400	1	1	1	0	21	1	1
401	1	1	1	0	21	1	1
402	1	1	1	0	21	1	1
403	1	1	11	229	394	336	336
404	1	1	1	9	24	28	28
405	1	1	1	12	53	28	28
406	1	1	3	33	112	84	84
407	1	1	7	64	226	196	196
408	1	1	6	65	141	196	196
409	1	1	2	15	34	56	56
410	1	1	1	12	53	28	28
411	1	1	1	15	32	28	28
412	1	1	1	12	53	28	28
413	1	1	1	19	7	28	28
414	1	1	1	15	32	28	28
415	1	1	1	7	10	0	4
416	1	1	1	4	8	0	2
417	1	1	1	3	10	0	4
418	1	1	2	12	22	0	14
419	1	1	1	9	41	0	35
420	1	1	1	16	48	1	1
421	1	1	1	16	48	1	1
422	1	1	1	9	51	2	2
423	1	1	2	5	77	4	4
424	1	1	1	0	20	2	2
425	1	1	1	17	46	10	10
426	1	1	1	7	8	4	4
427	1	1	1	6	8	4	4
428	1	1	1	6	8	1	1
429	1	1	1	6	8	2	2
430	1	1	1	6	8	1	1
431	1	1	1	6	8	1	1
432	1	1	1	6	8	1	1
433	1	1	1	6	8	1	1
434	1	1	1	18	66	6	6
435	1	1	1	18	66	9	9
436	1	1	1	0	20	2	2
437	1	1	1	58	18	1	1
438	1	1	1	30	12	4	4
439	1	1	1	30	12	2	2
440	1	1	1	5	63	0	12
441	1	1	1	38	21	3	3
442	1	1	1	9	20	12	12
443	1	1	1	15	32	12	12
444	1	1	1	15	32	12	12
445	1	1	1	12	9	0	1
446	1	1	1	13	10	0	6
447	1	1	1	12	9	1	1
448	1	1	1	15	9	0	6
449	1	1	1	12	9	0	1
450	1	1	1	12	96	0	1
451	1	1	1	6	49	0	1
452	1	1	1	32	20	1	1
453	1	1	1	33	21	0	3
454	1	1	1	11	19	2	2
455	1	1	2	36	46	4	4
456	1	1	1	47	32	1	1
457	1	1	1	47	32	0	1
458	1	1	1	0	1	3	4
